selection_id,source_row,image_name,question,correct_answer,answer_type,question_type,map_type,image_size_bucket,geographic_level
30,295,31.png,"In the population cartogram, how many red states share a border with Florida?",0,Counting,"['Visual', 'Positional']",_cartogram,0.5–2MP,_country
31,8016,637.jpg,How many junior high schools are shown on the map?,4,Counting,"['Visual', 'Comparative']",_divisional,0.5–2MP,_district
32,10729,887.png,"How many sections are there in the 200 level, that are numbered less than 210?",9,Counting,"['Visual', 'Comparative']",_layout,2–8MP,_building
33,10557,840.png,"In the northern half of California, how many locations are represented by circles showing less than 50 professionals?",15,Counting,"['Positional', 'Comparative']",_marker,0.1–0.5MP,_state
34,4411,451.jpg,Look at the top of the map. How many numbered rows are in the map?,11,Counting,"['Visual', 'Positional', 'Comparative']",_mixed,0.5–2MP,_city
35,10596,850.png,How many different street names are mentioned that end with the letter 'e'?,4,Counting,['Other'],_network,0.1–0.5MP,_neighborhood
36,10420,993.png,Are the regions with similar population densities represented with the same color shade?,Yes,Boolean,['Visual'],_cartogram,>8MP,_continent
37,10283,958.jpeg,Is there a helipad shown in any of the provided floor plans?,No,Boolean,['Visual'],_multiple,0.5–2MP,_campus
38,3338,344.jpg,Are the Florida Keys entirely south of every red-coloured pixel? (yes / no),Yes,Boolean,['Positional'],_isopleth,2–8MP,_region
39,10032,897.jpg,Does the map show a completely uniform spread of COVID-19 across all continents?,No,Boolean,['Positional'],_choropleth,0.5–2MP,_world
40,8013,636.png,Are New Manchester High School and Elementary School in the same district?,No,Boolean,['Comparative'],_divisional,0.5–2MP,_district
41,10357,977.jpeg,Does the map depict the entirety of historical Palestine as being under Israeli control in 1967?,Yes,Boolean,['Comparative'],_conflict,2–8MP,_country
42,10364,979.jpg,Is section 222 located closer to the East Club Entrance than section 101?,Yes,Boolean,"['Visual', 'Positional']",_layout,0.5–2MP,_building
43,9982,884.png,Are there more than 10 major crosswalks shown on the entire map?,No,Boolean,"['Visual', 'Comparative']",_network,>8MP,_neighborhood
44,9630,804.jpg,Does John F. Kennedy High School share a boundary with any pink zone?,Yes,Boolean,"['Visual', 'Comparative']",_mixed,2–8MP,_county
45,2442,252.jpg,Is the death toll in Africa in 2022 lower then the Middle East?,No,Boolean,"['Positional', 'Comparative']",_multiple,>8MP,_subcontinent
46,2610,269.png,Does the southeastern U.S. show a high Indigenous population?,No,Boolean,"['Positional', 'Comparative']",_choropleth,2–8MP,_continent
47,10070,906.jpg,Is the Ringling Art Museum located further south than Cypress Gardens?,Yes,Boolean,"['Positional', 'Comparative']",_marker,0.5–2MP,_state
48,7658,622.jpg,Are most of the yellow zones (Ukrainian advance) located north of Donetsk?,yes,Boolean,"['Visual', 'Positional', 'Comparative']",_conflict,0.1–0.5MP,_region
49,6608,448.png,Does the bottom part of the map look larger than the top?,No,Boolean,"['Visual', 'Positional', 'Comparative']",_cartogram,0.1–0.5MP,_continent
50,7878,560.webp,Does the map indicate that Thuraya service is possible in the Philippines?,Yes,Boolean,['Other'],_isopleth,0.5–2MP,_world
