image_name,question,correct_answer,question_type,answer_type,map_type,image_size_bucket,geographic_level,source_row
6.png,"Based on the image, can you tell if Montana's housing price in the 300k or 400k range?",no,['Other'],Boolean,_choropleth,0.5–2MP,_country,55
6.png,"Based on the image, does South Dakota have a housing price shown?",no,"['Visual', 'Positional']",Boolean,_choropleth,0.5–2MP,_country,56
6.png,"Based on the image, how many states lack color data (are grayed out)?",4,['Visual'],Counting,_choropleth,0.5–2MP,_country,57
7.png,Which Metro line runs through both Pentagon and Rosslyn stations?,Blue Line,['Positional'],Single Entity,_network,0.5–2MP,_city,58
7.png,"Which station is a shared transfer point for the Red, Green, and Yellow lines?",Gallery Place-Chinatown,['Visual'],Single Entity,_network,0.5–2MP,_city,59
7.png,Which Metro line connects Greenbelt to Gallery Place-Chinatown?,Green Line,['Positional'],Single Entity,_network,0.5–2MP,_city,60
7.png,What station is directly between Smithsonian and Archives on the Blue and Orange lines?,Federal Triangle,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,61
7.png,Which Metro line passes through both U Street and Shaw-Howard U stations?,Green Line,['Positional'],Single Entity,_network,0.5–2MP,_city,62
7.png,What is the southern terminal station of the Yellow Line?,Huntington,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,63
7.png,Which line connects Fort Totten and West Hyattsville?,Green Line,['Positional'],Single Entity,_network,0.5–2MP,_city,64
7.png,"Which station is a transfer point for the Blue, Orange, and Silver lines?",Rosslyn,['Visual'],Single Entity,_network,0.5–2MP,_city,65
7.png,Which Metro station is closest to the National Mall?,Smithsonian,['Comparative'],Single Entity,_network,0.5–2MP,_city,66
7.png,Which line has Anacostia and Navy Yard-Ballpark stations?,Green Line,['Other'],Single Entity,_network,0.5–2MP,_city,67
8.png,Which country in north america has the least democratic index,United States Of America,"['Positional', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_world,68
8.png,"Is the democratic index for Nepal greater than india, answer from the map",Yes,['Comparative'],Boolean,_choropleth,0.5–2MP,_world,69
8.png,"Is the democratic index for South Africa greater than india, answer from the map",Yes,"['Positional', 'Comparative']",Boolean,_choropleth,0.5–2MP,_world,70
8.png,Does Mauritius have more democracy index than South Africa,No,"['Positional', 'Comparative']",Boolean,_choropleth,0.5–2MP,_world,71
8.png,Name one country in South America on has the lowest democracy index according to the map?,French Guiana,"['Positional', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_world,73
8.png,Is Russia shaded a darker or lighter red than China?,Lighter Red,"['Visual', 'Comparative']",Boolean,_choropleth,0.5–2MP,_world,74
8.png,Which African country appears to have the highest democracy index based on shading?,Malawi,"['Visual', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_world,75
8.png,Which regions in the world has the most countries with very low democracy index ?,Middle East and Central Africa,['Comparative'],Single Entity,_choropleth,0.5–2MP,_world,76
8.png,Does India have a higher or lower democracy index than madagaskar? answer from map,Lower,['Comparative'],Boolean,_choropleth,0.5–2MP,_world,77
9.jpeg,What color represents the highest life expectancy on the map?,Yellow,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,78
9.jpeg,Which country in Southeast Asia has the lightest life expectancy color?,Philippines,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,79
9.jpeg,Which country is directly south of China with a large population size?,India,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,80
9.jpeg,Which country in the Middle East has the smallest population size?,Qatar,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,81
9.jpeg,"Which country has a larger population size, Pakistan or Iran?",Pakistan,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,82
9.jpeg,Which country in the Middle East has a medium brown life expectancy shade?,Iran,"['Visual', 'Positional']",Single Entity,_cartogram,0.1–0.5MP,_continent,83
9.jpeg,What is the life expectancy color of Bangladesh?,Brown,['Visual'],Single Entity,_cartogram,0.1–0.5MP,_continent,84
9.jpeg,Which country in the Middle East has a life expectancy color closest to yellow?,Oman,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,85
9.jpeg,"Which country in Africa has a larger population size, Somalia or Eritrea?",Somalia,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,86
9.jpeg,Which country in Africa has a life expectancy color closest to yellow?,Egypt,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent,87
10.jpeg,What is the southern most hospital that is also at least 2 miles away from the coast on the map?,Mission Hospital,"['Positional', 'Comparative']",Single Entity,_marker,2–8MP,_county,88
10.jpeg,What is the third eastern most named clinic on the map?,Nellie Gail Urgent Care,"['Positional', 'Comparative']",Single Entity,_marker,2–8MP,_county,89
10.jpeg,How many hospital and clinic names are obscured by the legend on the map?,3,['Visual'],Counting,_marker,2–8MP,_county,90
10.jpeg,What park is north of Irvine on the map?,Chino Hills State Park,['Positional'],Single Entity,_marker,2–8MP,_county,91
10.jpeg,What valley is east of Irvine on the map?,Temescal Valley,['Positional'],Single Entity,_marker,2–8MP,_county,92
10.jpeg,What clinic is south of the beach that is south of Irvine on the map?,Capistrano Beach Care Center,['Positional'],Single Entity,_marker,2–8MP,_county,93
10.jpeg,What park is north of the beach that is south of Irvine on the map?,Chino Hills State Park,['Positional'],Single Entity,_marker,2–8MP,_county,94
10.jpeg,What park is on the map?,Chino Hills State Park,['Other'],Single Entity,_marker,2–8MP,_county,95
10.jpeg,What valley is on the map?,Temescal Valley,['Other'],Single Entity,_marker,2–8MP,_county,96
10.jpeg,What park is north of the valley on the map?,Chino Hills State Park,['Positional'],Single Entity,_marker,2–8MP,_county,97
11.jpg,How many parking structures or lots are clearly labeled on this map?,17,['Visual'],Counting,_layout,0.1–0.5MP,_campus,99
11.jpg,How many bus stops are there in the close proximity to the medical centre?,4,['Positional'],Counting,_layout,0.1–0.5MP,_campus,100
11.jpg,What street runs along the south side of the hospital campus?,Memorial Medical Center Drive,['Positional'],Single Entity,_layout,0.1–0.5MP,_campus,102
11.jpg,How many parking areas are designated for patients and visitors?,5,['Other'],Counting,_layout,0.1–0.5MP,_campus,103
11.jpg,Where is the Radiation Oncology Entrance located?,Memorial Medical Center Dr,['Positional'],Single Entity,_layout,0.1–0.5MP,_campus,104
11.jpg,"Suppose you need to go to Emergency Department. Which entrance should you look for, and which street",Columbia Street,['Visual'],Single Entity,_layout,0.1–0.5MP,_campus,105
11.jpg,Name one medical buildings located on Long Beach Boulevard.,Columbia Medical Building,['Positional'],Single Entity,_layout,0.1–0.5MP,_campus,106
12.jpg,Which direction did Paraguay’s border move the least after the war?,South western,"['Positional', 'Comparative']",Single Entity,_conflict,0.1–0.5MP,_country,108
12.jpg,Is the territory gained from Bolivia visually larger than any one of the areas lost to Argentina or,Yes,['Comparative'],Boolean,_conflict,0.1–0.5MP,_country,109
12.jpg,Is the territory lost to Brazil wider east-to-west or longer north-to-south?,east to west,['Comparative'],Boolean,_conflict,0.1–0.5MP,_country,110
12.jpg,Which country has a border with Paraguay but no arrow indicating territorial change?,none,['Positional'],Single Entity,_conflict,0.1–0.5MP,_country,111
12.jpg,Does the red pre-war border ever fully re-enter the post-war border on the map?,No,"['Visual', 'Positional']",Boolean,_conflict,0.1–0.5MP,_country,112
12.jpg,Is any territory lost to Argentina located west of Paraguay’s modern border(post war)?,Yes,['Positional'],Boolean,_conflict,0.1–0.5MP,_country,113
12.jpg,How many dams are present inside pre war line ?,2,['Positional'],Counting,_conflict,0.1–0.5MP,_country,114
12.jpg,What is distance between Yacyreta and Itaipu dam?,240 km,['Positional'],Single Entity,_conflict,0.1–0.5MP,_country,115
12.jpg,Which dam label appears closest to the southeastern edge of Paraguay’s border?,Itaipu Dam,"['Visual', 'Positional', 'Comparative']",Single Entity,_conflict,0.1–0.5MP,_country,116
12.jpg,Does the territory lost to Argentina connect directly to any Brazilian territory?,Yes,['Other'],Boolean,_conflict,0.1–0.5MP,_country,117
13.png,How many possible colors can be seen?,15,['Visual'],Counting,_choropleth,0.5–2MP,_country,118
13.png,How many states area grey?,13,['Visual'],Counting,_choropleth,0.5–2MP,_country,119
13.png,How many purple states are there?,13,['Visual'],Counting,_choropleth,0.5–2MP,_country,120
13.png,How many category options are there?,32,['Other'],Counting,_choropleth,0.5–2MP,_country,121
13.png,How many gray states are touching california?,3,['Visual'],Counting,_choropleth,0.5–2MP,_country,122
13.png,How many gray states are touching maine?,0,['Visual'],Counting,_choropleth,0.5–2MP,_country,123
13.png,How many gray states are touching florida?,0,['Visual'],Counting,_choropleth,0.5–2MP,_country,124
14.png,How many continents are colored on the map?,6,['Visual'],Counting,_choropleth,2–8MP,_world,125
14.png,Which continent on the map is colored the least?,Antarctica,"['Visual', 'Comparative']",Single Entity,_choropleth,2–8MP,_world,126
14.png,Is Hawaii displayed on the map?,Yes,['Visual'],Boolean,_choropleth,2–8MP,_world,127
14.png,What label is on this map?,No label is shown,['Visual'],Single Entity,_choropleth,2–8MP,_world,128
14.png,How many countries are darker than Niger on this map?,0,"['Visual', 'Comparative']",Counting,_choropleth,2–8MP,_world,130
14.png,How many countries are darker than the country that is the darkest to the left of Chad on this map?,0,"['Visual', 'Positional', 'Comparative']",Counting,_choropleth,2–8MP,_world,131
14.png,What is the name of the country that is darker than the country immediately North of Nigeria on this,None.,"['Visual', 'Positional', 'Comparative']",Single Entity,_choropleth,2–8MP,_world,132
14.png,What is the name of the country that is darkest on this map?,Niger,"['Visual', 'Comparative']",Single Entity,_choropleth,2–8MP,_world,133
14.png,What is the name of the country that is darker than Niger on this map?,None.,"['Visual', 'Comparative']",Single Entity,_choropleth,2–8MP,_world,134
15.jpg,How many sections begin with the letter W?,23,['Visual'],Counting,_layout,2–8MP,_building,135
15.jpg,How many restrooms can a woman use here?,8,['Other'],Counting,_layout,2–8MP,_building,136
15.jpg,How many times does the guest experience icon show up in the image?,1,['Other'],Counting,_layout,2–8MP,_building,137
15.jpg,How many times does the Ford Sensory Nooks icon show up in the image?,1,['Other'],Counting,_layout,2–8MP,_building,138
15.jpg,Where is first-aid located?,Not marked,['Positional'],Single Entity,_layout,2–8MP,_building,139
15.jpg,How many MGM clubs are in this stadium?,1,['Other'],Counting,_layout,2–8MP,_building,140
15.jpg,How many of the restrooms can men use?,8,['Other'],Counting,_layout,2–8MP,_building,141
15.jpg,How many bars and pubs do you see?,2,['Visual'],Counting,_layout,2–8MP,_building,142
15.jpg,Is there a ramp on the side of the stadium that has the Aristocrat Club?,No,['Positional'],Boolean,_layout,2–8MP,_building,143
15.jpg,How many sections begin with the letter E?,27,['Visual'],Counting,_layout,2–8MP,_building,144
16.jpg,Which line has most construction phases?,Blue,['Comparative'],Single Entity,_network,0.5–2MP,_city,147
16.jpg,What is color of proposed metro line ?,pink,['Visual'],Single Entity,_network,0.5–2MP,_city,148
16.jpg,What is the line with the most stations?,Blue,['Comparative'],Single Entity,_network,0.5–2MP,_city,149
16.jpg,Which station appears at the intersection of three different color lines,Lajpat Nagar or New Delhi Station,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,150
16.jpg,Which is the shortest metro line?,Green,['Comparative'],Single Entity,_network,0.5–2MP,_city,151
16.jpg,Which interchange station lies between two branch endpoints (Noida & Vaishali) on the Blue Line?,Yamuna Bank,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,152
16.jpg,Which station lies at the extreme south western edge of the map?,Huda City Center station,['Positional'],Single Entity,_network,0.5–2MP,_city,153
16.jpg,Can we go from Jama masjid to IGI?,No,['Other'],Boolean,_network,0.5–2MP,_city,154
17.jpg,What is the western terminus of the Blue Line (Line 3)?,Dwarka Sector 9,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,155
17.jpg,Which line connects Yamuna Bank and Anand Vihar ISBT?,Pink Line or Line 4,['Positional'],Single Entity,_network,0.5–2MP,_city,156
17.jpg,On which line would you travel between Inderlok and Mundka?,Green Line or Line 5,['Positional'],Single Entity,_network,0.5–2MP,_city,157
17.jpg,Which station connects the Blue and Violet lines?,Mandi House,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,158
17.jpg,Which station connects the Yellow and Violet lines?,Central Secretariat,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,159
17.jpg,Which line would you board to go directly to New Delhi station?,Airport Express Line,['Other'],Single Entity,_network,0.5–2MP,_city,160
17.jpg,What color on the map represents the line from Inderlok to Mundka?,Green or Line 5,['Visual'],Single Entity,_network,0.5–2MP,_city,161
17.jpg,Which station is the northern terminus of the Yellow Line (Line 2)?,Jahangirpuri,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,162
17.jpg,At which station do the Yellow and Pink lines intersect?,Azadpur,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,163
17.jpg,At which station do the Blue and Green lines intersect?,Kirti Nagar,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city,164
18.jpg,What is the time difference between London and New York?,5 hours,['Positional'],Single Entity,_divisional,0.5–2MP,_world,165
18.jpg,What time zone is Brazil primarily located in?,-3,['Positional'],Single Entity,_divisional,0.5–2MP,_world,167
18.jpg,What is the time difference between Greenwich Mean Time (GMT) and the time zone labeled +10?,10 hours,"['Visual', 'Positional']",Single Entity,_divisional,0.5–2MP,_world,172
18.jpg,What time zone is most of India located in?,+5:30,"['Positional', 'Comparative']",Single Entity,_divisional,0.5–2MP,_world,173
18.jpg,What is the time difference between Moscow and Beijing?,5 hours,['Positional'],Single Entity,_divisional,0.5–2MP,_world,174
19.jpg,Which country spans the most time zones on this map?,Russia,['Comparative'],Single Entity,_divisional,0.1–0.5MP,_world,175
19.jpg,What is the time zone offset of India (approximate)?,+5:30,['Other'],Single Entity,_divisional,0.1–0.5MP,_world,176
19.jpg,Which ocean has the most time zone lines crossing it?,Pacific,['Comparative'],Single Entity,_divisional,0.1–0.5MP,_world,177
19.jpg,Which large country is entirely in the same time zone despite spanning several?,China,['Comparative'],Single Entity,_divisional,0.1–0.5MP,_world,178
19.jpg,What is the time zone offset of New Zealand (mainland)?,+12,['Other'],Single Entity,_divisional,0.1–0.5MP,_world,179
19.jpg,What is the westernmost country within the +3 time zone?,Turkey,"['Positional', 'Comparative']",Single Entity,_divisional,0.1–0.5MP,_world,180
19.jpg,Which country lies mostly in the -3 time zone?,Brazil,['Positional'],Single Entity,_divisional,0.1–0.5MP,_world,181
19.jpg,What is the time zone of eastern Australia (Sydney region)?,+10,['Positional'],Single Entity,_divisional,0.1–0.5MP,_world,182
19.jpg,Which African country is almost entirely in the +1 time zone?,Algeria,['Other'],Single Entity,_divisional,0.1–0.5MP,_world,183
19.jpg,What is the only country entirely in the -9 time zone?,USA,['Other'],Single Entity,_divisional,0.1–0.5MP,_world,184
20.png,What is the exact density figure printed for China?,149,['Other'],Single Entity,_cartogram,2–8MP,_continent,186
20.png,How many labelled countries have density greater than 300?,4,"['Visual', 'Comparative']",Counting,_cartogram,2–8MP,_continent,187
20.png,"According to labels, does Turkey have a density over or under 120?",under,"['Visual', 'Comparative']",Boolean,_cartogram,2–8MP,_continent,188
20.png,Count the labelled countries whose density value ends in the digit “9”.,2,['Visual'],Counting,_cartogram,2–8MP,_continent,189
20.png,Count the number of countries that uses black text (not white) for its labelled name?,9,['Visual'],Counting,_cartogram,2–8MP,_continent,190
20.png,Count the number of countries that uses white text for its labelled name?,1,['Visual'],Counting,_cartogram,2–8MP,_continent,191
20.png,How many labelled countries have density numbers that are three digits long?,6,['Visual'],Counting,_cartogram,2–8MP,_continent,192
20.png,What exact digit does the density value for Iran end with?,1,['Other'],Single Entity,_cartogram,2–8MP,_continent,193
20.png,"Of the countries shown, which one has its name printed the smallest (fewest letters)?",Iran,"['Visual', 'Comparative']",Single Entity,_cartogram,2–8MP,_continent,194
21.jpeg,What country is represented in the map?,United States of America,['Other'],Single Entity,_marker,2–8MP,_county,195
21.jpeg,Which clinic is the southernmost clinic in this map?,Focus Sports,['Positional'],Single Entity,_marker,2–8MP,_county,196
21.jpeg,Which clinic is in between Saint Louise Regional Hospital and Kaiser Permanente hospital?,De Paul Health Clinic,['Positional'],Single Entity,_marker,2–8MP,_county,197
21.jpeg,Which clinic is nearest to Saint Louise Regional Hospital,Bay Area Community Health,"['Positional', 'Comparative']",Single Entity,_marker,2–8MP,_county,198
21.jpeg,In the map are there more hospitals or clinics in south western part of map?,clinics,"['Positional', 'Comparative']",Boolean,_marker,2–8MP,_county,199
21.jpeg,Is Action Urgent Care a clinic or hospital?,clinic,['Other'],Boolean,_marker,2–8MP,_county,200
21.jpeg,Which Clinic according to the map is closest to henry coe state park?,De Paul Health Center.,['Comparative'],Single Entity,_marker,2–8MP,_county,202
21.jpeg,Which other hospital is closer to Dominican Hospital?,Santa Cruz Post Acute Rehab,['Positional'],Single Entity,_marker,2–8MP,_county,203
21.jpeg,Is scotts valley centre a hospital or clinic?,clinic,['Other'],Boolean,_marker,2–8MP,_county,204
22.png,how many countries are OECD in South America?,1,['Positional'],Counting,_choropleth,0.1–0.5MP,_world,206
22.png,how many areas are upper middle income in South America?,9,['Positional'],Counting,_choropleth,0.1–0.5MP,_world,207
22.png,how many countries in Africa are visibly nonOECD?,0,['Visual'],Counting,_choropleth,0.1–0.5MP,_world,208
22.png,what is Mexico classified as?,nonOECD,['Visual'],Single Entity,_choropleth,0.1–0.5MP,_world,209
22.png,what is Chile classified as?,nonOECD,['Visual'],Single Entity,_choropleth,0.1–0.5MP,_world,210
22.png,which countries with OECD classification border the United States?,Canada,['Positional'],Single Entity,_choropleth,0.1–0.5MP,_world,211
22.png,which continent has the most countries with High Income OECD?,Europe,['Comparative'],Single Entity,_choropleth,0.1–0.5MP,_world,212
22.png,how many different colors or shades are used for the countries?,5,['Visual'],Counting,_choropleth,0.1–0.5MP,_world,213
22.png,what is French Guiana classified as?,OECD,['Visual'],Single Entity,_choropleth,0.1–0.5MP,_world,214
23.jpg,how many structures are visibly on the map?,21,['Visual'],Counting,_marker,0.5–2MP,_city,215
23.jpg,which monument is closest to La Villette?,Sacre Coeur,['Comparative'],Single Entity,_marker,0.5–2MP,_city,216
23.jpg,which monument or structure is closest to Parc Des Princes?,Parc Des Expositions,['Comparative'],Single Entity,_marker,0.5–2MP,_city,217
23.jpg,how many of the structures or monuments images are below the river?,6,['Positional'],Counting,_marker,0.5–2MP,_city,218
23.jpg,how many of the structures or monuments images are above the river?,15,['Positional'],Counting,_marker,0.5–2MP,_city,219
23.jpg,which structure or monument image is most south?,Montparnasse Tower,"['Positional', 'Comparative']",Single Entity,_marker,0.5–2MP,_city,220
23.jpg,which structure or monument image is most west?,Parc Des Princes,"['Positional', 'Comparative']",Single Entity,_marker,0.5–2MP,_city,221
23.jpg,how many green areas are there?,9,['Visual'],Counting,_marker,0.5–2MP,_city,222
23.jpg,which monument or structure is closest to La Defense?,Arc de Triomphe,['Comparative'],Single Entity,_marker,0.5–2MP,_city,223
23.jpg,is there a cemetery?,Yes,['Other'],Boolean,_marker,0.5–2MP,_city,224
24.jpg,How many color roads are there?,4,['Visual'],Counting,_mixed,0.5–2MP,_city,225
24.jpg,How many highway loops are there?,4,['Other'],Counting,_mixed,0.5–2MP,_city,226
24.jpg,How many stadiums do you see?,3,['Visual'],Counting,_mixed,0.5–2MP,_city,227
24.jpg,How many water bodies do you see?,3,['Visual'],Counting,_mixed,0.5–2MP,_city,228
24.jpg,How many roads intersect the highway?,9,['Positional'],Counting,_mixed,0.5–2MP,_city,229
24.jpg,How many must see locations are at a park?,4,['Visual'],Counting,_mixed,0.5–2MP,_city,230
24.jpg,How many must see locations are at the river?,1,['Visual'],Counting,_mixed,0.5–2MP,_city,231
24.jpg,Is more city above or below the highway shown?,Above,"['Visual', 'Positional', 'Comparative']",Boolean,_mixed,0.5–2MP,_city,232
25.png,"Looking at the map, which country is colored white?",United States.,['Visual'],Single Entity,_choropleth,>8MP,_world,233
25.png,What color is South Africa colored in?,Orange.,"['Visual', 'Positional']",Single Entity,_choropleth,>8MP,_world,235
25.png,What color is India colored in?,Orange.,['Visual'],Single Entity,_choropleth,>8MP,_world,236
25.png,Are there are orange countries in North America?,Yes,"['Visual', 'Positional']",Boolean,_choropleth,>8MP,_world,237
25.png,Which color is Mongolia colored in?,orange,['Visual'],Single Entity,_choropleth,>8MP,_world,238
25.png,"Looking at the map, which country that borders India shares the same color?",Pakistan.,"['Visual', 'Positional']",Single Entity,_choropleth,>8MP,_world,239
25.png,"Looking at the map, what color is Mauritania?",yellow,['Visual'],Single Entity,_choropleth,>8MP,_world,241
25.png,"Looking at the map, which country bordering Libya is given the same color?",Egypt,"['Visual', 'Positional']",Single Entity,_choropleth,>8MP,_world,242
26.png,Which state has the lightest (highest-value) color on the map?,Nebraska,"['Visual', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_country,243
26.png,Which southeastern state has the lowest-value (darkest purple) shade?,Mississippi,"['Visual', 'Positional', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_country,244
26.png,Which Midwestern state is darkest in color?,Illinois,"['Visual', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_country,245
26.png,Which state shows a value closest to the national minimum (deep blue)?,Alaska,"['Visual', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_country,246
