qa_id,sample_index,country,map_no,template_no,question,ground_truth,ground_truth_type,legend_style,relative_region,generation_status,generated_tokens,inference_seconds,final_answer,evaluated_answer,answer_extraction_method,primary_score,strict_exact_match,metric,precision,recall,f1,rankwise_precision,mrr,map,rank_parse_success,rank_format_compliant,range_relation,normalized_ground_truth,normalized_prediction,evaluation_note
mapwise_china_map22_2C_t21_idx0013,13,china,map22_2C,21,Yes or no: Guangxi has the highest value among the neighbours of Guizhou.,Yes,Binary,c,Y,truncated,3072,299.166,"Got it, let's try to figure this out. First, I need to identify the regions. The map shows Chinese provinces with abbreviations. Let's list the neighbors of Guizhou (GZ). Guizhou's abbreviation is GZ. Looking at the map, Guizhou's neighbors would be provinces adjacent to it. From what I know, Guizhou is in the southwest, so neighbors might include Yunnan (YN), Sichuan (SC), Hunan (HN), etc. Wait, let's check the map labels. The map has abbreviations: GZ is Guizhou. Let's find which provinces are next to GZ.

Looking at the map, GZ is labeled. The neighboring provinces would be those sharing a border. Let's see: Yunnan (YN) is to the west of GZ, Sichuan (SC) is to the north, Hunan (HN) is to the east? Wait, maybe. Also, maybe Chongqing (CQ) is a neighbor? Wait, the map has CQ as a label. Let's check the colors. The question is about Guangxi (GX) and whether it's the highest among Guizhou's neighbors.

First, identify Guizhou's neighbors. Guizhou (GZ) is in the southwest. Its neighbors are likely Yunnan (YN), Sichuan (SC), Chongqing (CQ), and maybe Hunan (HN)? Wait, no, Chongqing is a municipality. Let's check the map. The provinces adjacent to GZ: YN (Yunnan) is to the west, SC (Sichuan) is to the north, and maybe CQ (Chongqing) is also a neighbor. Now, Guangxi (GX) is another province. Is GX a neighbor of GZ? Let's see: Guangxi is to the east of Yunnan, so GZ is west of Yunnan, and Guangxi is east of Yunnan. So GZ and GX are not direct neighbors. Wait, maybe I need to check the map's spatial arrangement.

Wait, the map labels: GZ is Guizhou, GX is Guangxi. Let's see their positions. Guizhou (GZ) is in the southwest, Guangxi (GX) is to the east of Guizhou? No, Guangxi is further east. Let's think: the provinces around Guizhou. Guizhou's neighbors are Yunnan (YN), Sichuan (SC), Chongqing (CQ), and maybe Hunan (HN)? Wait, no, Hunan is to the east of Sichuan. Let's check the color values. The legend shows that darker colors mean higher values (since the scale goes from 0 to 2500, with purple being higher).

Now, the question is: Guangxi (GX) has the highest value among the neighbours of Guizhou. So first, find Guizhou's neighbors. Let's list the provinces adjacent to GZ. From the map, GZ is labeled. Let's see the surrounding provinces:

- To the west: YN (Yunnan)
- To the north: SC (Sichuan)
- To the east: maybe CQ (Chongqing) or HN (Hunan)? Wait, no, Chongqing is a municipality, but on the map, CQ is a label. Let's check the map's layout. The map has GZ, and around it, YN, SC, CQ, etc.

Wait, maybe the neighbors of GZ are YN, SC, CQ, and HN? Let's check the color values. The value for each province is indicated by the color. Let's look at the colors:

- GZ: what color is GZ? Let's see. The map has GZ as a light blue, maybe. Wait, the legend: the color scale goes from light (0) to dark purple (2500). So darker means higher value.

Now, Guangxi (GX) is labeled on the map. Let's check GX's color. GX is a purple color, which is darker than some others. Now, the neighbors of GZ: let's confirm which provinces are adjacent to GZ.

Guizhou (GZ) is in the southwest. Its neighboring provinces are:

1. Yunnan (YN) - to the west
2. Sichuan (SC) - to the north
3. Chongqing (CQ) - to the north-northwest? Wait, Chongqing is a municipality, but on the map, CQ is a label. Let's see the map: CQ is near GZ. So GZ's neighbors include YN, SC, CQ, and maybe Hunan (HN)? Wait, no, Hunan is further east.

Wait, maybe the key is to check the color values of GZ's neighbors. Let's list the neighbors:

- YN (Yunnan)
- SC (Sichuan)
- CQ (Chongqing)
- HN (Hunan)? No, Hunan is east of Sichuan.

Wait, let's look at the map's labels. The provinces around GZ:

- GZ is labeled. To the west is YN (Yunnan), to the north is SC (Sichuan), and to the east is maybe CQ (Chongqing) or HN (Hunan). Wait, no, Chongqing is a municipality, but on the map, CQ is a label. Let's check the color of each:

- GZ: what color? Let's see. The map has GZ as a light blue, so its value is low.

- YN (Yunnan): color is medium blue, so higher than GZ.

- SC (Sichuan): color is light blue, similar to GZ.

- CQ (Chongqing): color is light blue.

- Now, Guangxi (GX): what's its color? GX is labeled, and it's a purple color, which is darker than YN, SC, etc. So GX's value is higher.

But is GX a neighbor of GZ? Let's check the spatial relationship. Guizhou (GZ) is in the southwest, Guangxi (GX) is to the east of Yunnan. So GZ and GX are not adjacent; they are separated by Yunnan. So the neighbors of GZ are YN, SC, CQ, etc., not GX.

Wait, maybe I made a mistake. Let's think again. The provinces adjacent to Guizhou (GZ) are:

- Yunnan (YN) - west
- Sichuan (SC) - north
- Chongqing (CQ) - north-northwest (since Chongqing is a municipality adjacent to Guizhou)
- Hunan (HN) - east? No, Hunan is east of Sichuan, so maybe not.

Wait, actually, Guizhou's neighbors are Yunnan, Sichuan, Chongqing, and maybe Guizhou is also adjacent to Hunan? No, Hunan is to the east of Sichuan. Let's check a map of China: Guizhou is bordered by Yunnan (west), Sichuan (north), Chongqing (northwest), and Hunan (east)? Wait, no, Hunan is to the east of Guizhou? Let me recall: Guizhou is in the southwest, bordered by Yunnan (west), Sichuan (north), Chongqing (northwest), and Hunan (east)? No, actually, Guizhou is bordered by Yunnan (west), Sichuan (north), Chongqing (northwest), and also by Guizhou is adjacent to Hunan? Wait, no, Hunan is to the east of Sichuan, so Guizhou's eastern neighbor is Hunan? Maybe.

But regardless, the key is: is Guangxi (GX) a neighbor of Guizhou (GZ)? Let's check the map. On the map, GZ is labeled, and GX is labeled. Looking at their positions: GZ is in the southwest, GX is to the east of GZ. So they are not adjacent; there's Yunnan (YN) between them. So GX is not a neighbor of GZ.

Therefore, the neighbors of GZ are YN, SC, CQ, etc. Now, the question is: does GX have the highest value among GZ's neighbors? But if GX is not a neighbor, then the answer is no.

Wait, but maybe I'm wrong about the neighbors. Let's check the map again. The map has labels: GZ, YN, SC, CQ, etc. Let's see the spatial arrangement. GZ is in the southwest, YN is to the west of GZ, SC is to the north of GZ, CQ is to the north of GZ (since CQ is labeled near GZ). So the neighbors of GZ are YN, SC, CQ. Now, what's the color of these:

- YN: medium blue (value around 1000-1500)
- SC: light blue (value around 500-1000)
- CQ: light blue (similar to SC)
- GX: purple (value around 1500-2000)

But GX is not a neighbor of GZ. So the neighbors of GZ are YN, SC, CQ. Among these, which has the highest value? YN is medium blue, which is higher than SC and CQ. So YN has a higher value than SC and CQ. Now, GX is not a neighbor, so the question is whether GX (which is not a neighbor) has the highest value among GZ's neighbors. But since GX is not a neighbor, the answer is no.

Wait, but maybe I made a mistake in identifying neighbors. Let's check if GX is a neighbor. Let's look at the map: GZ is labeled, and GX is labeled. The distance between GZ and GX: on the map, GZ is in the southwest, GX is to the east of GZ. So they are not adjacent. The adjacent provinces to GZ are YN (west), SC (north), CQ (northwest), and maybe HN (east)? Wait, HN is Hunan. Let's check the color of HN. HN is labeled, and its color is light blue. So HN's value is low.

Now, the value of GX: the color is purple, which is darker than YN, SC, CQ, HN. So GX's value is higher than those. But since GX is not a neighbor of GZ, the question is asking if GX has the highest value among GZ's neighbors. Since GX is not a neighbor, the answer is no.

Wait, but maybe I'm wrong. Let's check the map again. The problem says ""neighbours of Guizhou"". So we need to find all provinces that share a border with Guizhou. In China, Guizhou's neighbors are Yunnan (YN), Sichuan (SC), Chongqing (CQ), and Hunan (HN)? Wait, no, Hunan is not a direct neighbor. Let me confirm: Guizhou is bordered by Yunnan (west), Sichuan (north), Chongqing (northwest), and also by Guizhou is adjacent to Guizhou's eastern neighbor? Wait, actually, Guizhou is bordered by Yunnan (west), Sichuan (north), Chongqing (northwest), and Hunan (east)? No, Hunan is to the east of Sichuan, so Guizhou's eastern neighbor is Hunan? Let me check a standard map: Guizhou is bordered by Yunnan (west), Sichuan (north), Chongqing (northwest), and Hunan (east). Yes, that's correct. So neighbors are YN, SC, CQ, HN.

Now, what are the values of these neighbors:

- YN (Yunnan): color is medium blue (value around 1000-1500)
- SC (Sichuan): light blue (value around 500-1000)
- CQ (Chongqing): light blue (similar to SC)
- HN (Hunan): light blue (similar to SC)

Now, Guangxi (GX) is a different province. Is GX a neighbor of GZ? No, because Guangxi is bordered by Yunnan (west), Guizhou (southwest), and Hunan (east)? Wait, no. Guangxi is bordered by Yunnan (west), Guizhou (southwest), and Hunan (east)? Wait, no, Guangxi is bordered by Yunnan (west), Guizhou (southwest), and Hunan (east)? Let me check: Guangxi is in the south, bordered by Yunnan (west), Guizhou (southwest), and Hunan (east). Wait, no, actually, Guangxi is bordered by Yunnan (west), Guizhou (southwest), and Hunan (east)? Wait, no, the correct neighbors of Guangxi are Yunnan (west), Guizhou (southwest), and Hunan (east). So Guizhou is a neighbor of Guangxi. Wait, that's the key! So Guizhou and Guangxi are neighbors.

Oh! I made a mistake earlier. So Guizhou (GZ) and Guangxi (GX) are neighbors. Because Guangxi is to the east of Guizhou. Let's confirm: in China, Guangxi is a province that borders Guizhou. Yes, Guizhou and Guangxi share a border. So the neighbors of Guizhou (GZ) include Guangxi (GX).

Now, let's list the neighbors of GZ:

- YN (Yunnan) - west
- SC (Sichuan) - north
- CQ (Chongqing) - northwest
- HN (Hunan) - east
- GX (Guangxi) - southeast

Wait, is that correct? Let's check the map. The map has GZ labeled, and GX is labeled to the east of GZ. So yes, GZ and GX are neighbors.

Now,",,saved_final_answer_too_long,0.0,0,not_extractable,,,,,,,,,,,,No extractable final answer.
mapwise_china_map22_2C_t31_idx0014,14,china,map22_2C,31,Yes or no: a majority of states bordering Russia have values less than 1000.,Yes,Binary,c,N,complete,960,95.022,yes,yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map22_2C_t6_idx0015,15,china,map22_2C,6,Yes or no: the map depicts absolute values.,Yes,Binary,c,N,complete,199,20.054,yes,yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map22_2C_t9_idx0016,16,china,map22_2C,9,Does the value of Hainan fall in range 2000 - 2500?,No,Binary,c,N,complete,177,17.943,No,No,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,no,no,
mapwise_china_map22_2C_t23_idx0017,17,china,map22_2C,23,How many states in the East China Sea region have a value higher than 2000?,3,Count,c,N,complete,2251,222.092,4,4,saved_final_answer,0.0,0,count_exact_match,,,,,,,,,,3,4,
mapwise_china_map22_2C_t19_idx0018,18,china,map22_2C,19,Yes or no: the value of Guangdong is lower than Shandong.,Yes,Binary,c,N,complete,86,8.931,yes,yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map7_0D_t1_idx0019,19,china,map7_0D,1,How many distinct categories does the legend contain?,5,Count,d,N,complete,257,25.773,6,6,saved_final_answer,0.0,0,count_exact_match,,,,,,,,,,5,6,
mapwise_china_map7_0D_t17_idx0020,20,china,map7_0D,17,Count the coastal states with the values in range 28.3 - 37.20 in the southeast region.,1,Count,d,N,complete,2479,244.751,4,4,saved_final_answer,0.0,0,count_exact_match,,,,,,,,,,1,4,
mapwise_china_map7_0D_t34_idx0021,21,china,map7_0D,34,Yes or no: Guangdong is the South most state that has a higher value compared to all its neighbours.,Yes,Binary,d,Y,complete,614,61.076,yes,yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map7_0D_t36_idx0022,22,china,map7_0D,36,Name the South most state in the highest range.,Guangdong,Single,d,N,complete,1565,156.21,GD,GD,saved_final_answer,1.0,1,single_recall,1.0,1.0,1.0,,,,,,,"[""guangdong""]","[""guangdong""]",
mapwise_china_map7_0D_t6_idx0023,23,china,map7_0D,6,Yes or no: the map depicts absolute values.,Yes,Binary,d,N,complete,130,13.256,no,no,saved_final_answer,0.0,0,binary_exact_match,,,,,,,,,,yes,no,
mapwise_china_map7_0D_t2_idx0024,24,china,map7_0D,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,Binary,d,N,complete,143,14.579,no,no,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,no,no,
mapwise_china_map7_0D_t19_idx0025,25,china,map7_0D,19,Yes or no: the value of the state Liaoning is higher than state Tibet.,Yes,Binary,d,N,complete,223,22.419,yes,yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map7_0D_t8_idx0026,26,china,map7_0D,8,Which class has the largest range of values?,37.20 - 62.90,Range,d,N,complete,345,34.208,37.2 - 62.9,37.2 - 62.9,saved_final_answer,1.0,1,discrete_range_exact_match,,,,,,,,,exact,"[37.2, 62.9]","[37.2, 62.9]",Discrete: exact normalized range match only.
mapwise_china_map7_0D_t5_idx0027,27,china,map7_0D,5,Yes or no: the legend has different shades of the same colour?,Yes,Binary,d,N,complete,182,18.582,yes,yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map12_2D_t2_idx0028,28,china,map12_2D,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Binary,d,N,complete,143,14.686,yes,yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map12_2D_t17_idx0029,29,china,map12_2D,17,Count the states with the values in the highest range in the East China Sea region.,5,Count,d,N,complete,2756,271.409,5,5,saved_final_answer,1.0,1,count_exact_match,,,,,,,,,,5,5,
mapwise_china_map12_2D_t35_idx0030,30,china,map12_2D,35,How many states bordering India have a value similar to Beijing?,1,Count,d,N,complete,1618,159.996,0,0,saved_final_answer,0.0,0,count_exact_match,,,,,,,,,,1,0,
mapwise_china_map12_2D_t16_idx0031,31,china,map12_2D,16,What value range does Ningxia fall in?,31.30 - 259.20,Range,d,N,complete,139,14.413,31.29 - 259.2,31.29 - 259.2,saved_final_answer,0.0,0,discrete_range_exact_match,,,,,,,,,no_match,"[31.3, 259.2]","[31.29, 259.2]",Discrete: exact normalized range match only.
mapwise_china_map12_2D_t12_idx0032,32,china,map12_2D,12,What is the least value range in the South east region?,31.29 - 259.20,Range,d,N,complete,1626,160.755,31.29 - 259.2,31.29 - 259.2,saved_final_answer,1.0,1,discrete_range_exact_match,,,,,,,,,exact,"[31.29, 259.2]","[31.29, 259.2]",Discrete: exact normalized range match only.
mapwise_china_map12_2D_t7_idx0033,33,china,map12_2D,7,Is the legend discrete or continuous?,Discrete,Single,d,N,complete,166,16.832,discrete,discrete,saved_final_answer,1.0,1,single_recall,1.0,1.0,1.0,,,,,,,"[""discrete""]","[""discrete""]",
mapwise_china_map12_2D_t23_idx0034,34,china,map12_2D,23,How many states bordering Myanmar have a value higher than 259.20?,1,Count,d,Y,complete,2013,199.628,1,1,saved_final_answer,1.0,1,count_exact_match,,,,,,,,,,1,1,
mapwise_china_map7_0C_t6_idx0035,35,china,map7_0C,6,Yes or no: the map depicts percentages.,No,Binary,c,N,complete,117,12.382,no,no,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,no,no,
mapwise_china_map7_0C_t41_idx0036,36,china,map7_0C,41,Are the legends evenly spaced?,Yes,Single,c,N,complete,216,22.065,Yes,Yes,saved_final_answer,1.0,1,single_recall,1.0,1.0,1.0,,,,,,,"[""yes""]","[""yes""]",
mapwise_china_map7_0C_t5_idx0037,37,china,map7_0C,5,Yes or no: the legend has different shades of the same colour?,Yes,Binary,c,N,complete,85,9.067,Yes,Yes,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,yes,yes,
mapwise_china_map7_0C_t23_idx0038,38,china,map7_0C,23,How many states bordering India have a value lower than 0?,1,Count,c,N,complete,953,94.566,0,0,saved_final_answer,0.0,0,count_exact_match,,,,,,,,,,1,0,
