sample_id,screening_id,source_row,image_name,question,correct_answer,answer_type,question_type,tag_combo,map_type,geographic_level,reward_pattern,correct_generations,num_generations,mean_reward,diagnostic_class,selection_reason
29,29,30,4.jpg,Which major river borders the western side of Lower Manhattan?,Hudson River,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_mixed,_city,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional_easy_all_correct
30,30,33,4.jpg,What is the name of the bridge that connects Lower Manhattan to Brooklyn?,Brooklyn Bridge,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_mixed,_city,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional_easy_all_correct
31,31,34,4.jpg,Which street appears to form the approximate northern border between Tribeca and Civic Center area?,Chambers Street,Single Entity,"['Visual', 'Positional']",Positional+Visual,_mixed,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Positional+Visual_hard_all_wrong
32,32,35,4.jpg,Name one street that runs through both the Financial District and Lower Manhattan.,Broadway,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_mixed,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
36,36,39,4.jpg,Name one street that appears to run east-west through a significant portion of Tribeca.,Duane Street,Single Entity,"['Visual', 'Positional']",Positional+Visual,_mixed,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Positional+Visual_hard_all_wrong
43,43,46,5.png,Which state south of Ohio appears orange?,Tennessee,Single Entity,"['Visual', 'Positional']",Positional+Visual,_choropleth,_country,"0,1,0,0",1,4,0.25,mixed,retain_all_mixed_signal
44,44,48,6.png,"Based on the image, which state has the lowest median housing price?",Ohio,Single Entity,['Comparative'],Comparative,_choropleth,_country,"1,1,1,0",3,4,0.75,mixed,retain_all_mixed_signal
45,45,49,6.png,"Based on the image, is Idaho more expensive than Oregon?",no,Boolean,['Comparative'],Comparative,_choropleth,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
46,46,50,6.png,"Based on the image, does Arizona have a higher median home price than New Mexico?",no,Boolean,['Comparative'],Comparative,_choropleth,_country,"0,1,0,0",1,4,0.25,mixed,retain_all_mixed_signal
47,47,51,6.png,"Based on the image, can you tell if Washington more expensive than Montana?",no,Boolean,['Comparative'],Comparative,_choropleth,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
48,48,52,6.png,"Based on the image, which Great Lakes state is cheapest?",ohio,Single Entity,['Comparative'],Comparative,_choropleth,_country,"1,0,1,0",2,4,0.5,mixed,retain_all_mixed_signal
49,49,53,6.png,"Based on the image, is Maine more expensive than New Hampshire?",no,Boolean,['Comparative'],Comparative,_choropleth,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
50,50,54,6.png,"Based on the image, is North Dakota data available?",no,Boolean,['Positional'],Positional,_choropleth,_country,"1,0,1,0",2,4,0.5,mixed,retain_all_mixed_signal
51,51,55,6.png,"Based on the image, can you tell if Montana's housing price in the 300k or 400k range?",no,Boolean,['Other'],Other,_choropleth,_country,"0,1,1,1",3,4,0.75,mixed,retain_all_mixed_signal
52,52,56,6.png,"Based on the image, does South Dakota have a housing price shown?",no,Boolean,"['Visual', 'Positional']",Positional+Visual,_choropleth,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Positional+Visual_easy_all_correct
53,53,57,6.png,"Based on the image, how many states lack color data (are grayed out)?",4,Counting,['Visual'],Visual,_choropleth,_country,"1,1,0,1",3,4,0.75,mixed,retain_all_mixed_signal
55,55,59,7.png,"Which station is a shared transfer point for the Red, Green, and Yellow lines?",Gallery Place-Chinatown,Single Entity,['Visual'],Visual,_network,_city,"0,0,0,1",1,4,0.25,mixed,retain_all_mixed_signal
56,56,60,7.png,Which Metro line connects Greenbelt to Gallery Place-Chinatown?,Green Line,Single Entity,['Positional'],Positional,_network,_city,"0,0,1,0",1,4,0.25,mixed,retain_all_mixed_signal
60,60,64,7.png,Which line connects Fort Totten and West Hyattsville?,Green Line,Single Entity,['Positional'],Positional,_network,_city,"1,0,0,0",1,4,0.25,mixed,retain_all_mixed_signal
62,62,66,7.png,Which Metro station is closest to the National Mall?,Smithsonian,Single Entity,['Comparative'],Comparative,_network,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
63,63,67,7.png,Which line has Anacostia and Navy Yard-Ballpark stations?,Green Line,Single Entity,['Other'],Other,_network,_city,"0,1,1,0",2,4,0.5,mixed,retain_all_mixed_signal
64,64,68,8.png,Which country in north america has the least democratic index,United States Of America,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
65,65,69,8.png,"Is the democratic index for Nepal greater than india, answer from the map",Yes,Boolean,['Comparative'],Comparative,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
66,66,70,8.png,"Is the democratic index for South Africa greater than india, answer from the map",Yes,Boolean,"['Positional', 'Comparative']",Comparative+Positional,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
67,67,71,8.png,Does Mauritius have more democracy index than South Africa,No,Boolean,"['Positional', 'Comparative']",Comparative+Positional,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
69,69,74,8.png,Is Russia shaded a darker or lighter red than China?,Lighter Red,Boolean,"['Visual', 'Comparative']",Comparative+Visual,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
70,70,75,8.png,Which African country appears to have the highest democracy index based on shading?,Malawi,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
72,72,77,8.png,Does India have a higher or lower democracy index than madagaskar? answer from map,Lower,Boolean,['Comparative'],Comparative,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
73,73,78,9.jpeg,What color represents the highest life expectancy on the map?,Yellow,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_cartogram,_continent,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
74,74,79,9.jpeg,Which country in Southeast Asia has the lightest life expectancy color?,Philippines,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_cartogram,_continent,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional+Visual_hard_all_wrong
75,75,80,9.jpeg,Which country is directly south of China with a large population size?,India,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional+Visual_easy_all_correct
76,76,81,9.jpeg,Which country in the Middle East has the smallest population size?,Qatar,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_cartogram,_continent,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional+Visual_hard_all_wrong
77,77,82,9.jpeg,"Which country has a larger population size, Pakistan or Iran?",Pakistan,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Visual_easy_all_correct
78,78,83,9.jpeg,Which country in the Middle East has a medium brown life expectancy shade?,Iran,Single Entity,"['Visual', 'Positional']",Positional+Visual,_cartogram,_continent,"1,1,1,0",3,4,0.75,mixed,retain_all_mixed_signal
80,80,85,9.jpeg,Which country in the Middle East has a life expectancy color closest to yellow?,Oman,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_cartogram,_continent,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional+Visual_hard_all_wrong
81,81,86,9.jpeg,"Which country in Africa has a larger population size, Somalia or Eritrea?",Somalia,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Visual_easy_all_correct
82,82,87,9.jpeg,Which country in Africa has a life expectancy color closest to yellow?,Egypt,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_cartogram,_continent,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
83,83,88,10.jpeg,What is the southern most hospital that is also at least 2 miles away from the coast on the map?,Mission Hospital,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_marker,_county,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
84,84,89,10.jpeg,What is the third eastern most named clinic on the map?,Nellie Gail Urgent Care,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_marker,_county,"0,1,0,0",1,4,0.25,mixed,retain_all_mixed_signal
85,85,90,10.jpeg,How many hospital and clinic names are obscured by the legend on the map?,3,Counting,['Visual'],Visual,_marker,_county,"0,0,0,1",1,4,0.25,mixed,retain_all_mixed_signal
86,86,91,10.jpeg,What park is north of Irvine on the map?,Chino Hills State Park,Single Entity,['Positional'],Positional,_marker,_county,"1,1,1,1",4,4,1.0,all_correct,balance_Positional_easy_all_correct
88,88,93,10.jpeg,What clinic is south of the beach that is south of Irvine on the map?,Capistrano Beach Care Center,Single Entity,['Positional'],Positional,_marker,_county,"1,1,1,1",4,4,1.0,all_correct,balance_Positional_easy_all_correct
90,90,95,10.jpeg,What park is on the map?,Chino Hills State Park,Single Entity,['Other'],Other,_marker,_county,"1,1,1,1",4,4,1.0,all_correct,balance_Other_easy_all_correct
91,91,96,10.jpeg,What valley is on the map?,Temescal Valley,Single Entity,['Other'],Other,_marker,_county,"1,1,1,1",4,4,1.0,all_correct,balance_Other_easy_all_correct
93,93,99,11.jpg,How many parking structures or lots are clearly labeled on this map?,17,Counting,['Visual'],Visual,_layout,_campus,"0,0,0,0",0,4,0.0,all_wrong,balance_Visual_hard_all_wrong
94,94,100,11.jpg,How many bus stops are there in the close proximity to the medical centre?,4,Counting,['Positional'],Positional,_layout,_campus,"0,0,0,0",0,4,0.0,all_wrong,balance_Positional_hard_all_wrong
96,96,103,11.jpg,How many parking areas are designated for patients and visitors?,5,Counting,['Other'],Other,_layout,_campus,"0,0,0,0",0,4,0.0,all_wrong,balance_Other_hard_all_wrong
100,100,108,12.jpg,Which direction did Paraguay’s border move the least after the war?,South western,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_conflict,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
101,101,109,12.jpg,Is the territory gained from Bolivia visually larger than any one of the areas lost to Argentina or,Yes,Boolean,['Comparative'],Comparative,_conflict,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative_easy_all_correct
102,102,110,12.jpg,Is the territory lost to Brazil wider east-to-west or longer north-to-south?,east to west,Boolean,['Comparative'],Comparative,_conflict,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
104,104,112,12.jpg,Does the red pre-war border ever fully re-enter the post-war border on the map?,No,Boolean,"['Visual', 'Positional']",Positional+Visual,_conflict,_country,"0,0,0,1",1,4,0.25,mixed,retain_all_mixed_signal
105,105,113,12.jpg,Is any territory lost to Argentina located west of Paraguay’s modern border(post war)?,Yes,Boolean,['Positional'],Positional,_conflict,_country,"1,1,1,0",3,4,0.75,mixed,retain_all_mixed_signal
106,106,114,12.jpg,How many dams are present inside pre war line ?,2,Counting,['Positional'],Positional,_conflict,_country,"1,0,1,1",3,4,0.75,mixed,retain_all_mixed_signal
108,108,116,12.jpg,Which dam label appears closest to the southeastern edge of Paraguay’s border?,Itaipu Dam,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_conflict,_country,"0,1,0,0",1,4,0.25,mixed,retain_all_mixed_signal
109,109,117,12.jpg,Does the territory lost to Argentina connect directly to any Brazilian territory?,Yes,Boolean,['Other'],Other,_conflict,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Other_hard_all_wrong
115,115,123,13.png,How many gray states are touching maine?,0,Counting,['Visual'],Visual,_choropleth,_country,"1,0,0,0",1,4,0.25,mixed,retain_all_mixed_signal
118,118,126,14.png,Which continent on the map is colored the least?,Antarctica,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_choropleth,_world,"1,1,0,1",3,4,0.75,mixed,retain_all_mixed_signal
119,119,127,14.png,Is Hawaii displayed on the map?,Yes,Boolean,['Visual'],Visual,_choropleth,_world,"1,0,0,0",1,4,0.25,mixed,retain_all_mixed_signal
121,121,130,14.png,How many countries are darker than Niger on this map?,0,Counting,"['Visual', 'Comparative']",Comparative+Visual,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
122,122,131,14.png,How many countries are darker than the country that is the darkest to the left of Chad on this map?,0,Counting,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional+Visual_hard_all_wrong
123,123,132,14.png,What is the name of the country that is darker than the country immediately North of Nigeria on this,None.,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional+Visual_hard_all_wrong
124,124,133,14.png,What is the name of the country that is darkest on this map?,Niger,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
125,125,134,14.png,What is the name of the country that is darker than Niger on this map?,None.,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_choropleth,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
127,127,136,15.jpg,How many restrooms can a woman use here?,8,Counting,['Other'],Other,_layout,_building,"0,0,0,0",0,4,0.0,all_wrong,balance_Other_hard_all_wrong
133,133,142,15.jpg,How many bars and pubs do you see?,2,Counting,['Visual'],Visual,_layout,_building,"0,1,1,0",2,4,0.5,mixed,retain_all_mixed_signal
134,134,143,15.jpg,Is there a ramp on the side of the stadium that has the Aristocrat Club?,No,Boolean,['Positional'],Positional,_layout,_building,"0,0,1,0",1,4,0.25,mixed,retain_all_mixed_signal
135,135,144,15.jpg,How many sections begin with the letter E?,27,Counting,['Visual'],Visual,_layout,_building,"0,0,0,0",0,4,0.0,all_wrong,balance_Visual_hard_all_wrong
136,136,147,16.jpg,Which line has most construction phases?,Blue,Single Entity,['Comparative'],Comparative,_network,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
138,138,149,16.jpg,What is the line with the most stations?,Blue,Single Entity,['Comparative'],Comparative,_network,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
140,140,151,16.jpg,Which is the shortest metro line?,Green,Single Entity,['Comparative'],Comparative,_network,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
151,151,162,17.jpg,Which station is the northern terminus of the Yellow Line (Line 2)?,Jahangirpuri,Single Entity,"['Visual', 'Positional']",Positional+Visual,_network,_city,"0,1,0,0",1,4,0.25,mixed,retain_all_mixed_signal
156,156,172,18.jpg,What is the time difference between Greenwich Mean Time (GMT) and the time zone labeled +10?,10 hours,Single Entity,"['Visual', 'Positional']",Positional+Visual,_divisional,_world,"1,1,1,1",4,4,1.0,all_correct,balance_Positional+Visual_easy_all_correct
157,157,173,18.jpg,What time zone is most of India located in?,+5:30,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_divisional,_world,"1,0,1,0",2,4,0.5,mixed,retain_all_mixed_signal
159,159,175,19.jpg,Which country spans the most time zones on this map?,Russia,Single Entity,['Comparative'],Comparative,_divisional,_world,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative_easy_all_correct
161,161,177,19.jpg,Which ocean has the most time zone lines crossing it?,Pacific,Single Entity,['Comparative'],Comparative,_divisional,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
162,162,178,19.jpg,Which large country is entirely in the same time zone despite spanning several?,China,Single Entity,['Comparative'],Comparative,_divisional,_world,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative_easy_all_correct
163,163,179,19.jpg,What is the time zone offset of New Zealand (mainland)?,+12,Single Entity,['Other'],Other,_divisional,_world,"0,1,1,0",2,4,0.5,mixed,retain_all_mixed_signal
164,164,180,19.jpg,What is the westernmost country within the +3 time zone?,Turkey,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_divisional,_world,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
165,165,181,19.jpg,Which country lies mostly in the -3 time zone?,Brazil,Single Entity,['Positional'],Positional,_divisional,_world,"1,0,0,0",1,4,0.25,mixed,retain_all_mixed_signal
167,167,183,19.jpg,Which African country is almost entirely in the +1 time zone?,Algeria,Single Entity,['Other'],Other,_divisional,_world,"1,1,0,1",3,4,0.75,mixed,retain_all_mixed_signal
169,169,186,20.png,What is the exact density figure printed for China?,149,Single Entity,['Other'],Other,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Other_easy_all_correct
170,170,187,20.png,How many labelled countries have density greater than 300?,4,Counting,"['Visual', 'Comparative']",Comparative+Visual,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Visual_easy_all_correct
171,171,188,20.png,"According to labels, does Turkey have a density over or under 120?",under,Boolean,"['Visual', 'Comparative']",Comparative+Visual,_cartogram,_continent,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
172,172,189,20.png,Count the labelled countries whose density value ends in the digit “9”.,2,Counting,['Visual'],Visual,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Visual_easy_all_correct
174,174,191,20.png,Count the number of countries that uses white text for its labelled name?,1,Counting,['Visual'],Visual,_cartogram,_continent,"0,0,0,0",0,4,0.0,all_wrong,balance_Visual_hard_all_wrong
175,175,192,20.png,How many labelled countries have density numbers that are three digits long?,6,Counting,['Visual'],Visual,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Visual_easy_all_correct
176,176,193,20.png,What exact digit does the density value for Iran end with?,1,Single Entity,['Other'],Other,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Other_easy_all_correct
177,177,194,20.png,"Of the countries shown, which one has its name printed the smallest (fewest letters)?",Iran,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_cartogram,_continent,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Visual_easy_all_correct
181,181,198,21.jpeg,Which clinic is nearest to Saint Louise Regional Hospital,Bay Area Community Health,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_marker,_county,"1,1,1,0",3,4,0.75,mixed,retain_all_mixed_signal
182,182,199,21.jpeg,In the map are there more hospitals or clinics in south western part of map?,clinics,Boolean,"['Positional', 'Comparative']",Comparative+Positional,_marker,_county,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
183,183,200,21.jpeg,Is Action Urgent Care a clinic or hospital?,clinic,Boolean,['Other'],Other,_marker,_county,"0,0,0,0",0,4,0.0,all_wrong,balance_Other_hard_all_wrong
184,184,202,21.jpeg,Which Clinic according to the map is closest to henry coe state park?,De Paul Health Center.,Single Entity,['Comparative'],Comparative,_marker,_county,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative_easy_all_correct
185,185,203,21.jpeg,Which other hospital is closer to Dominican Hospital?,Santa Cruz Post Acute Rehab,Single Entity,['Positional'],Positional,_marker,_county,"1,1,1,1",4,4,1.0,all_correct,balance_Positional_easy_all_correct
186,186,204,21.jpeg,Is scotts valley centre a hospital or clinic?,clinic,Boolean,['Other'],Other,_marker,_county,"0,0,0,0",0,4,0.0,all_wrong,balance_Other_hard_all_wrong
187,187,215,23.jpg,how many structures are visibly on the map?,21,Counting,['Visual'],Visual,_marker,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Visual_hard_all_wrong
188,188,216,23.jpg,which monument is closest to La Villette?,Sacre Coeur,Single Entity,['Comparative'],Comparative,_marker,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
189,189,217,23.jpg,which monument or structure is closest to Parc Des Princes?,Parc Des Expositions,Single Entity,['Comparative'],Comparative,_marker,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
191,191,219,23.jpg,how many of the structures or monuments images are above the river?,15,Counting,['Positional'],Positional,_marker,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Positional_hard_all_wrong
192,192,220,23.jpg,which structure or monument image is most south?,Montparnasse Tower,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_marker,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
193,193,221,23.jpg,which structure or monument image is most west?,Parc Des Princes,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_marker,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
194,194,222,23.jpg,how many green areas are there?,9,Counting,['Visual'],Visual,_marker,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Visual_hard_all_wrong
195,195,223,23.jpg,which monument or structure is closest to La Defense?,Arc de Triomphe,Single Entity,['Comparative'],Comparative,_marker,_city,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative_easy_all_correct
196,196,224,23.jpg,is there a cemetery?,Yes,Boolean,['Other'],Other,_marker,_city,"1,1,1,1",4,4,1.0,all_correct,balance_Other_easy_all_correct
200,200,228,24.jpg,How many water bodies do you see?,3,Counting,['Visual'],Visual,_mixed,_city,"0,1,0,0",1,4,0.25,mixed,retain_all_mixed_signal
202,202,230,24.jpg,How many must see locations are at a park?,4,Counting,['Visual'],Visual,_mixed,_city,"0,0,1,0",1,4,0.25,mixed,retain_all_mixed_signal
204,204,232,24.jpg,Is more city above or below the highway shown?,Above,Boolean,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_mixed,_city,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional+Visual_hard_all_wrong
206,206,235,25.png,What color is South Africa colored in?,Orange.,Single Entity,"['Visual', 'Positional']",Positional+Visual,_choropleth,_world,"1,0,0,1",2,4,0.5,mixed,retain_all_mixed_signal
207,207,236,25.png,What color is India colored in?,Orange.,Single Entity,['Visual'],Visual,_choropleth,_world,"0,1,1,1",3,4,0.75,mixed,retain_all_mixed_signal
208,208,237,25.png,Are there are orange countries in North America?,Yes,Boolean,"['Visual', 'Positional']",Positional+Visual,_choropleth,_world,"1,1,1,1",4,4,1.0,all_correct,balance_Positional+Visual_easy_all_correct
