country,source_index,qa_id,ability_level,corrected_template_no,map_family,ground_truth_type,question,ground_truth,transition,baseline_correct,checkpoint_correct,baseline_answer,checkpoint_answer,baseline_tokens,checkpoint_tokens,baseline_status,checkpoint_status,baseline_reasoning_words,baseline_has_think_end,baseline_repeat4,baseline_wait_per_1k,baseline_at_limit,checkpoint_reasoning_words,checkpoint_has_think_end,checkpoint_repeat4,checkpoint_wait_per_1k,checkpoint_at_limit
usa,2996,mapwise_usa_map_8616_t34_idx0014,L3,33,usa:map_8616,Binary,Yes or no: New York is the northern most state that has a higher value compared to all its neighbours.,Yes,0->1,0,1,,yes,3072,2158,truncated,complete,2435,False,0.46504934210526316,9.44558521560575,True,1685,True,0.25980975029726516,8.308605341246292,False
usa,2967,mapwise_usa_map_689_t20_idx0015,L3,19,usa:map_689,Single,Name the western most state that belongs to a higher value range compared to all its neighbours.,California,0->0,0,0,,,3072,3072,truncated,truncated,1829,False,0.3116100766703176,12.02843083652269,True,1874,False,0.31801175841795826,9.6051227321238,True
usa,2662,mapwise_usa_map_20584_t42_idx0016,L2,41,usa:map_20584,Binary,Yes/No: Texas has a higher value than Florida and also a lower value than California.,Yes,1->1,1,1,yes,yes,185,247,complete,complete,126,True,0.016260162601625994,0.0,False,178,True,0.07428571428571429,0.0,False
india,1040,mapwise_india_map5_8C_t5_idx0017,L0,5,india:map5_8,Binary,Yes or no: the legend has multiple distinct colours.,Yes,0->0,0,0,no,no,115,115,complete,complete,84,True,0.024691358024691357,11.904761904761905,False,84,True,0.024691358024691357,11.904761904761905,False
india,1764,mapwise_india_map131_6D_t12_idx0018,L2,12,india:map131_6,Range,What is the highest value range in South India?,"5,259.0 - 18,349.0",1->1,1,1,5259-18349,5259-18349,1249,825,complete,complete,703,True,0.20285714285714285,17.069701280227594,False,436,True,0.18706697459584298,6.8807339449541285,False
india,1330,mapwise_india_map55_6D_t8_idx0019,L0,8,india:map55_6,Range,Which class has the largest range of values?,"4,593.2 - 8,726.0",1->1,1,1,4593.2-8726,4593.2-8726,546,552,complete,complete,211,True,0.09134615384615385,4.739336492890995,False,212,True,0.09090909090909094,4.716981132075472,False
usa,2470,mapwise_usa_map_488_t19_idx0020,L1,18,usa:map_488,Binary,Yes or no: the value of North Dakota is higher than Alabama.,No,1->1,1,1,no,no,228,253,complete,complete,132,True,0.03100775193798455,0.0,False,146,True,0.013986013986013957,0.0,False
china,537,mapwise_china_map8_7D_t34_idx0021,L3,33,china:map8_7,Binary,Yes or no: Heilongjiang is the East-most state that has a similar value compared to all its neighbours.,Yes,1->1,1,1,yes,yes,2100,1365,complete,complete,1418,True,0.3095406360424028,10.578279266572638,False,932,True,0.23896663078579117,7.510729613733906,False
india,1499,mapwise_india_map85_0C_t38_idx0022,L2,37,india:map85_0,Binary,Yes or no: the value of Kerala is above the median value amongst states in South India.,No,0->0,0,0,,,3072,3072,truncated,truncated,1742,False,0.21966647498562397,11.481056257175661,True,1668,False,0.1585585585585586,16.18705035971223,True
china,785,mapwise_china_map19_4D_t19_idx0023,L1,18,china:map19_4,Binary,Yes or no: the value of the Yunnan is higher than Guizhou.,Yes,0->0,0,0,no,no,2654,851,complete,complete,1435,True,0.4860335195530726,32.75261324041812,False,462,True,0.17429193899782136,25.974025974025974,False
china,388,mapwise_china_map14_7D_t19_idx0024,L1,18,china:map14_7,Binary,Yes or no: the value of Shandong is higher than Shanghai.,Yes,1->1,1,1,yes,yes,1126,823,complete,complete,595,True,0.3783783783783784,21.84873949579832,False,400,True,0.18891687657430734,15.0,False
india,1817,mapwise_india_map139_1C_t24_idx0025,L2,23,india:map139_1,Binary,Yes or no: the median state value in South India lies between 200 and 400.,No,0->1,0,1,yes,no,2559,2988,complete,complete,1507,True,0.23670212765957444,19.2435301924353,False,1813,True,0.23038674033149176,17.650303364589078,False
usa,2209,mapwise_usa_map_16686_t37_idx0026,L3,36,usa:map_16686,Single,Which states along the west coast in range 6-8% borders only one state from range 6-8%?,"California, Washington",0->1,0,1,,"['california', 'washington']",3072,2433,truncated,complete,2098,False,0.43245823389021476,16.205910390848427,True,1684,True,0.3390838786436645,14.84560570071259,False
china,560,mapwise_china_map17_0D_t6_idx0027,L0,6,china:map17_0,Binary,Yes or no: the map depicts absolute values.,Yes,0->0,0,0,no,no,140,140,complete,complete,92,True,0.0,0.0,False,92,True,0.0,0.0,False
india,1422,mapwise_india_map68_0C_t6_idx0028,L0,6,india:map68_0,Binary,Yes or no: the map depicts percentages.,No,1->1,1,1,no,no,112,112,complete,complete,67,True,0.0,0.0,False,67,True,0.0,0.0,False
india,1063,mapwise_india_map7_5C_t3_idx0029,L0,3,india:map7_5,Range,What is the overall range of the legend?,50 - 300,1->1,1,1,50-300,50-300,123,123,complete,complete,75,True,0.0,0.0,False,75,True,0.0,0.0,False
china,857,mapwise_china_map16_3C_t35_idx0030,L2,34,china:map16_3,Count,How many states in the region of Northeast China have value lower than the state of Guangdong?,3,1->1,1,1,3,3,488,554,complete,complete,334,True,0.04229607250755285,5.9880239520958085,False,392,True,0.059125964010282805,7.653061224489796,False
china,92,mapwise_china_map10_5C_t6_idx0031,L0,6,china:map10_5,Binary,Yes or no: the map depicts percentages.,No,1->1,1,1,no,no,97,112,complete,complete,70,True,0.0,0.0,False,75,True,0.0,0.0,False
india,1081,mapwise_india_map8_6C_t10_idx0032,L1,10,india:map8_6,Single,Is the value of Odisha closer to West Bengal or Bihar?,West Bengal,1->1,1,1,['west bengal'],['west bengal'],948,1852,complete,complete,652,True,0.06471494607087824,13.803680981595091,False,1360,True,0.30140014738393517,17.647058823529413,False
india,1321,mapwise_india_map53_6D_t34_idx0033,L3,33,india:map53_6,Binary,Yes or no: Kerala is the southernmost state that has a lower value compared to all its neighbours.,Yes,0->1,0,1,,yes,3072,2720,truncated,complete,2004,False,0.4137931034482759,12.4750499001996,True,1616,True,0.31990080595164294,10.51980198019802,False
india,1132,mapwise_india_map12_7D_t25_idx0034,L2,24,india:map12_7,Range,What is the median range of the states sharing border with China?,7.84 - 33.14,1->1,1,1,7.84-33.14,7.84-33.14,1859,1901,complete,complete,908,True,0.2541436464088398,7.709251101321586,False,966,True,0.1973001038421599,11.387163561076605,False
india,1863,mapwise_india_map158_1C_t18_idx0035,L3,17,india:map158_1,Binary,Yes or no: the value of the Maharashtra is lower to its neighbouring Telangana.,No,1->1,1,1,no,no,179,192,complete,complete,128,True,0.008000000000000007,0.0,False,141,True,0.0,0.0,False
india,1908,mapwise_india_map165_7C_t38_idx0036,L2,37,india:map165_7,Binary,Yes or no: the value of Punjab is below the median value amongst states in southern India.,No,0->0,0,0,yes,,2727,3072,complete,truncated,1536,True,0.18460534898891068,13.020833333333334,False,1710,False,0.2507322788517867,13.450292397660819,True
china,697,mapwise_china_map18_0D_t7_idx0037,L0,7,china:map18_0,Single,Is the legend discrete or continuous?,Discrete,1->1,1,1,['discrete'],['discrete'],105,108,complete,complete,69,True,0.0,0.0,False,72,True,0.0,0.0,False
india,1348,mapwise_india_map56_3D_t33_idx0038,L3,32,india:map56_3,Binary,Yes or no: Uttar Pradesh and Uttarakhand are the pair of bordering states with the highest difference.,No,0->0,0,0,,,3072,3072,truncated,truncated,1833,False,0.2775956284153005,5.455537370430988,True,1673,False,0.22754491017964074,9.563658099222954,True
usa,2644,mapwise_usa_map_14598_t4_idx0039,L0,4,usa:map_14598,Range,What value range does the darkest shade represent?,564-862,1->1,1,1,564-862,564-862,112,112,complete,complete,52,True,0.0,0.0,False,52,True,0.0,0.0,False
china,805,mapwise_china_map17_2D_t4_idx0040,L0,4,china:map17_2,Range,What value range does the second lightest shade represent?,166.9 - 232.6,0->0,0,0,71.6-166.9,71.6-166.9,681,1290,complete,complete,319,True,0.1708860759493671,9.404388714733543,False,678,True,0.3481481481481481,19.174041297935105,False
usa,2864,mapwise_usa_map_4_t2_idx0041,L0,2,usa:map_4,Binary,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,1->1,1,1,yes,yes,118,118,complete,complete,82,True,0.0,0.0,False,82,True,0.0,0.0,False
usa,2488,mapwise_usa_map_11349_t4_idx0042,L0,4,usa:map_11349,Range,What value range does the lightest shade represent?,38.2-42.4%,0->0,0,0,-42.4-38.2,-42.4-38.2,165,137,complete,complete,95,True,0.03260869565217395,0.0,False,75,True,0.09722222222222221,0.0,False
usa,2590,mapwise_usa_map_17382_t34_idx0043,L3,33,usa:map_17382,Binary,Yes or no: Maine is the northern-most state that has a similar value compared to all its neighbours.,Yes,1->1,1,1,yes,yes,1205,1235,complete,complete,824,True,0.16443361753958585,10.922330097087379,False,883,True,0.26022727272727275,15.855039637599093,False
india,1127,mapwise_india_map11_1C_t39_idx0044,L2,38,india:map11_1,Binary,Yes or no: all states in the north-east India have values below 4M.,Yes,1->1,1,1,yes,yes,723,373,complete,complete,435,True,0.07870370370370372,4.597701149425287,False,220,True,0.004608294930875556,0.0,False
china,185,mapwise_china_map20_6C_t7_idx0045,L0,7,china:map20_6,Single,Is the legend continuous or discrete?,Continuous,1->1,1,1,['continuous'],['continuous'],185,185,complete,complete,142,True,0.014388489208633115,0.0,False,142,True,0.014388489208633115,0.0,False
usa,2624,mapwise_usa_map_12788_t34_idx0046,L3,33,usa:map_12788,Binary,Yes or no: Maine is the Northern-most state that has a lower value compared to all its neighbours.,No,0->0,0,0,,yes,3072,1779,truncated,complete,1875,False,0.3408119658119658,18.133333333333333,True,1182,True,0.2680237489397794,14.382402707275803,False
india,1957,mapwise_india_map168_4C_t16_idx0047,L1,15,india:map168_4,Range,Between which two legend markings does state Maharashtra fall in?,60k - 80k,0->0,0,0,80000-100000,80000-100000,1134,860,complete,complete,697,True,0.2896253602305475,25.82496413199426,False,492,True,0.2535787321063395,22.357723577235774,False
india,1216,mapwise_india_map22_6C_t23_idx0048,L2,22,india:map22_6,Count,How many states in Deccan Plateau have a value higher than 0.6M?,4,0->0,0,0,,,3072,3072,truncated,truncated,1958,False,0.41841432225063935,12.768130745658835,True,1972,False,0.35754189944134074,15.720081135902637,True
usa,2982,mapwise_usa_map_20774_t9_idx0049,L1,9,usa:map_20774,Binary,Does New Hampshire fall in range 0.035-0.04?,No,0->0,0,0,yes,yes,1155,1846,complete,complete,783,True,0.3423076923076923,15.32567049808429,False,1194,True,0.3963056255247691,13.40033500837521,False
india,1315,mapwise_india_map53_0C_t20_idx0050,L3,19,india:map53_0,Single,Name the eastern most state that has a higher value compared to all its neighbours.,West Bengal,1->1,1,1,['west bengal'],['west bengal'],1729,854,complete,complete,1172,True,0.11976047904191611,17.064846416382252,False,626,True,0.0947030497592295,7.987220447284345,False
china,920,mapwise_china_map4_3C_t17_idx0051,L2,16,china:map4_3,Count,Count the states with the values in range -40 - -30 in the region bordering Xinjiang.,0,0->0,0,0,,,3072,3072,truncated,truncated,2047,False,0.26467710371819964,10.74743527112848,True,2016,False,0.30352707401887735,20.33730158730159,True
india,1313,mapwise_india_map53_0C_t23_idx0052,L2,22,india:map53_0,Count,How many states in the north east region have a value higher than 8k?,0,1->1,1,1,0,0,1458,2012,complete,complete,886,True,0.14382785956964894,11.286681715575622,False,1240,True,0.24494745351657232,16.129032258064516,False
india,1554,mapwise_india_map93_1C_t16_idx0053,L1,15,india:map93_1,Range,Between which two legend markings does Odisha fall in?,0.0 - 0.1,1->1,1,1,0-0.1,0-0.1,425,913,complete,complete,275,True,0.08823529411764708,14.545454545454545,False,628,True,0.31679999999999997,20.70063694267516,False
china,412,mapwise_china_map17_4D_t4_idx0054,L0,4,china:map17_4,Range,What value range does the second lightest shade represent?,33.10 - 42.90,1->1,1,1,33.1-42.9,33.1-42.9,131,131,complete,complete,75,True,0.02777777777777779,0.0,False,75,True,0.02777777777777779,0.0,False
usa,2952,mapwise_usa_map_7502_t33_idx0055,L3,32,usa:map_7502,Binary,Yes or no: New York and Vermont are a pair of bordering states with the highest difference.,yes,0->0,0,0,,,3072,3072,truncated,truncated,1620,False,0.2770562770562771,16.666666666666668,True,1645,False,0.2399512789281364,15.19756838905775,True
china,933,mapwise_china_map5_4C_t18_idx0056,L3,17,china:map5_4,Binary,Yes or no: the value of the state Guangdong is higher to its neighbouring state Guangxi.,No,1->1,1,1,no,no,314,262,complete,complete,219,True,0.04629629629629628,9.132420091324201,False,182,True,0.005586592178770999,5.4945054945054945,False
usa,2183,mapwise_usa_map_18501_t9_idx0057,L1,9,usa:map_18501,Binary,Does South Carolina fall in the range 138100-228700?,No,0->0,0,0,yes,yes,89,89,complete,complete,54,True,0.0,0.0,False,54,True,0.0,0.0,False
china,950,mapwise_china_map8_0D_t8_idx0058,L0,8,china:map8_0,Range,Which class has the largest range of values?,0.66 - 8.76,1->1,1,1,0.66-8.76,0.66-8.76,424,896,complete,complete,195,True,0.03125,5.128205128205129,False,410,True,0.25552825552825553,29.26829268292683,False
india,1513,mapwise_india_map90_0C_t19_idx0059,L1,18,india:map90_0,Binary,Yes or no: the value of Chattisgarh is lower than Haryana.,Yes,0->0,0,0,no,no,653,190,complete,complete,414,True,0.16545012165450124,21.73913043478261,False,123,True,0.0,8.130081300813009,False
usa,2280,mapwise_usa_map_13_t16_idx0060,L1,15,usa:map_13,Range,What value range does state Texas fall in?,0.15-0.2,0->0,0,0,0.15,0.15,954,529,complete,complete,637,True,0.31703470031545744,23.547880690737834,False,334,True,0.13897280966767367,11.976047904191617,False
china,518,mapwise_china_map6_0D_t34_idx0061,L3,33,china:map6_0,Binary,Yes or no: Guangdong is the South-most state that has a lower value compared to all its neighbours.,Yes,0->0,0,0,no,no,1782,2793,complete,complete,1240,True,0.2279708973322555,11.290322580645162,False,1886,True,0.24907063197026025,13.255567338282079,False
china,995,mapwise_china_map8_6C_t20_idx0062,L3,19,china:map8_6,Single,Name the Northmost state that has a higher value compared to all its neighbours.,Xinjiang,0->0,0,0,,,3072,3072,truncated,truncated,2281,False,0.4029850746268657,24.112231477422185,True,2191,False,0.21572212065813523,13.692377909630306,True
usa,2398,mapwise_usa_map_19_t36_idx0063,L3,35,usa:map_19,Single,Which is the Northern most state with a value in the highest range?,New York,1->1,1,1,['new york'],['new york'],567,324,complete,complete,385,True,0.12041884816753923,7.792207792207792,False,227,True,0.0357142857142857,8.810572687224669,False
usa,2025,mapwise_usa_map_33_t2_idx0064,L0,2,usa:map_33,Binary,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,1->1,1,1,no,no,151,168,complete,complete,80,True,0.0,0.0,False,95,True,0.0,0.0,False
india,1295,mapwise_india_map50_8D_t24_idx0065,L2,23,india:map50_8,Binary,Yes or no: the median state range in states bordering Telangana is 5.58 - 6.06.,Yes,0->0,0,0,,,3072,3072,truncated,truncated,1724,False,0.29343404997094713,17.40139211136891,True,1789,False,0.26315789473684215,18.4460592509782,True
china,229,mapwise_china_map5_1C_t3_idx0066,L0,3,china:map5_1,Range,What is the overall range of the legend?,<5 - >8.5,1->1,1,1,5-8.5,5-8.5,108,171,complete,complete,77,True,0.013513513513513487,0.0,False,113,True,0.009090909090909038,0.0,False
china,996,mapwise_china_map8_6C_t24_idx0067,L2,23,china:map8_6,Binary,Yes or no: the median state value in region bordering Hunan lies between 4 and 8.,Yes,0->1,0,1,,yes,3072,2826,truncated,complete,1801,False,0.24638487208008897,11.660188784008884,True,1714,True,0.2536528345996494,10.501750291715286,False
usa,2387,mapwise_usa_map_30_t16_idx0068,L1,15,usa:map_30,Range,What value range does Florida fall in?,134900-293900,1->1,1,1,134900-293900,134900-293900,140,141,complete,complete,67,True,0.0625,0.0,False,66,True,0.06349206349206349,0.0,False
china,477,mapwise_china_map22_8D_t3_idx0069,L0,3,china:map22_8,Range,What is the overall range of the legend?,58.09 - 3454.27,1->1,1,1,58.09-3454.27,58.09-3454.27,296,296,complete,complete,132,True,0.06976744186046513,7.575757575757576,False,132,True,0.06976744186046513,7.575757575757576,False
usa,2218,mapwise_usa_map_20746_t36_idx0070,L3,35,usa:map_20746,Single,Which is the westernmost state with a value in the range 0.1-0.2?,California,0->0,0,0,,['washington'],3072,2761,truncated,complete,1958,False,0.3289002557544757,16.853932584269664,True,1727,True,0.1838747099767981,15.63404748118124,False
india,1973,mapwise_india_map170_8C_t13_idx0071,L2,13,india:map170_8,Single,Which state has the second highest value in the states south of Madhya Pradesh?,Telangana,0->0,0,0,,,3072,3072,truncated,truncated,2027,False,0.2944664031620553,12.826837691169215,True,1954,False,0.2957457713992824,12.794268167860798,True
usa,2511,mapwise_usa_map_3689_t33_idx0072,L3,32,usa:map_3689,Binary,Yes or no: California and Nevada are a pair of bordering states with the highest difference.,Yes,1->1,1,1,yes,yes,901,1357,complete,complete,623,True,0.16935483870967738,3.2102728731942216,False,912,True,0.14191419141914197,4.385964912280702,False
usa,2297,mapwise_usa_map_9_t41_idx0073,L0,40,usa:map_9,Single,Are the legends evenly spaced?,Yes,1->1,1,1,['yes'],['yes'],304,304,complete,complete,158,True,0.03870967741935483,6.329113924050633,False,158,True,0.03870967741935483,6.329113924050633,False
china,721,mapwise_china_map21_2D_t18_idx0074,L3,17,china:map21_2,Binary,Yes or no: the value of the state Xinjiang is higher than its neighbouring state Gansu.,No,1->1,1,1,no,no,360,347,complete,complete,202,True,0.055276381909547756,0.0,False,195,True,0.0625,0.0,False
usa,2281,mapwise_usa_map_13_t33_idx0075,L3,32,usa:map_13,Binary,Yes or no: Georgia and South Carolina are a pair of bordering states with the highest difference.,No,1->1,1,1,no,no,1593,2141,complete,complete,1000,True,0.19157472417251753,6.0,False,1383,True,0.1804347826086956,10.845986984815617,False
india,1145,mapwise_india_map12_8C_t23_idx0076,L2,22,india:map12_8,Count,How many states in the west coast have a value higher than 4000?,None,1->1,1,1,0,0,1350,1438,complete,complete,844,True,0.16765755053507725,8.293838862559241,False,902,True,0.16351501668520574,9.977827050997783,False
china,21,mapwise_china_map3_6C_t16_idx0077,L1,15,china:map3_6,Range,Between which two legend markings does Hunan fall in?,4 - 4.5,0->0,0,0,3.5-4,3.5-4,1561,1469,complete,complete,1024,True,0.4603330068560235,23.4375,False,989,True,0.3640973630831643,15.166835187057634,False
india,1853,mapwise_india_map158_0D_t20_idx0078,L3,19,india:map158_0,Single,Name the easternmost state that belongs to a similar value range compared to all its neighbours.,West Bengal,0->0,0,0,['arunachal pradesh'],,2305,3072,complete,truncated,1447,True,0.22368421052631582,13.130615065653075,False,1773,False,0.23841807909604518,14.10039481105471,True
china,151,mapwise_china_map17_4C_t19_idx0079,L1,18,china:map17_4,Binary,Yes or no: the value of Shanghai is lower than Jiangsu.,Yes,0->0,0,0,no,no,335,446,complete,complete,236,True,0.06008583690987124,4.237288135593221,False,318,True,0.10793650793650789,9.433962264150944,False
india,1834,mapwise_india_map152_3D_t25_idx0080,L2,24,india:map152_3,Range,What is the median range of the states bordering Nepal?,"77,899.0 - 964,127.0",0->0,0,0,,,3072,3072,truncated,truncated,1778,False,0.34197183098591555,5.061867266591676,True,1733,False,0.29421965317919074,10.3866128101558,True
india,1893,mapwise_india_map164_4C_t38_idx0081,L2,37,india:map164_4,Binary,Yes or no: the value of Sikkim is above the median value amongst states in Himalayas.,Yes,0->1,0,1,no,yes,2542,2321,complete,complete,1445,True,0.20873786407766992,10.380622837370241,False,1319,True,0.16869300911854102,12.130401819560273,False
india,1795,mapwise_india_map137_7C_t19_idx0082,L1,18,india:map137_7,Binary,Yes or no: the value of the Uttar Pradesh is similar to Chhattisgarh.,Yes,1->1,1,1,yes,yes,175,210,complete,complete,126,True,0.04878048780487809,0.0,False,151,True,0.020270270270270285,6.622516556291391,False
china,694,mapwise_china_map18_0D_t5_idx0083,L0,5,china:map18_0,Binary,Yes or no: the legend has multiple distinct colours?,No,0->0,0,0,yes,yes,233,215,complete,complete,142,True,0.021582733812949617,21.12676056338028,False,117,True,0.052631578947368474,8.547008547008547,False
india,1384,mapwise_india_map62_5D_t25_idx0084,L2,24,india:map62_5,Range,What is the median range of the states bordering Bay of Bengal?,7.0 - 7.85,1->0,1,0,7-7.85,,2919,3072,complete,truncated,1835,True,0.32096069868995636,13.623978201634877,False,2121,False,0.7799811142587346,32.06034889203206,True
india,1787,mapwise_india_map134_7D_t12_idx0085,L2,12,india:map134_7,Range,What is the second highest value range in the region that have pilgrimages which are part of Char Dham Yatra?,120.22 - 126.92,0->0,0,0,146.58-162.86,146.58-162.86,934,1259,complete,complete,504,True,0.16367265469061876,9.920634920634921,False,715,True,0.2879213483146067,13.986013986013987,False
india,1799,mapwise_india_map137_7C_t3_idx0086,L0,3,india:map137_7,Range,What is the overall range of the legend?,-4000 - 8000,1->1,1,1,-4000-8000,-4000-8000,133,133,complete,complete,72,True,0.04347826086956519,0.0,False,72,True,0.04347826086956519,0.0,False
india,1833,mapwise_india_map152_3D_t16_idx0087,L1,15,india:map152_3,Range,What value range does Delhi fall in?,"77,899.0 - 964,127.0",0->0,0,0,2214416-13887695,2214416-13887695,282,480,complete,complete,115,True,0.1071428571428571,8.695652173913043,False,209,True,0.19902912621359226,14.354066985645932,False
china,365,mapwise_china_map11_1D_t16_idx0088,L1,15,china:map11_1,Range,What value range does Jilin fall in?,398.14 - 745.49,1->1,1,1,398.14-745.49,398.14-745.49,311,566,complete,complete,138,True,0.0444444444444444,7.246376811594203,False,249,True,0.08130081300813008,8.032128514056225,False
usa,2220,mapwise_usa_map_20746_t16_idx0089,L1,15,usa:map_20746,Range,What value range does state North Dakota fall in?,0.8-0.9,0->0,0,0,0.9,0.9,152,152,complete,complete,109,True,0.05660377358490565,9.174311926605505,False,109,True,0.05660377358490565,9.174311926605505,False
china,225,mapwise_china_map5_1C_t18_idx0090,L3,17,china:map5_1,Binary,Yes or no: the value of Shaanxi is similar to its neighbouring state Shanxi.,Yes,1->1,1,1,yes,yes,1040,2329,complete,complete,673,True,0.12388059701492538,28.231797919762258,False,1567,True,0.45140664961636834,31.90810465858328,False
china,640,mapwise_china_map21_0C_t2_idx0091,L0,2,china:map21_0,Binary,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,1->1,1,1,yes,yes,135,135,complete,complete,94,True,0.01098901098901095,0.0,False,94,True,0.01098901098901095,0.0,False
china,264,mapwise_china_map2_3D_t18_idx0092,L3,17,china:map2_3,Binary,Yes or no: the value of Heilongjiang is similar to its neighbouring state Jilin.,Yes,1->1,1,1,yes,yes,88,88,complete,complete,52,True,0.0,0.0,False,52,True,0.0,0.0,False
china,692,mapwise_china_map18_0D_t37_idx0093,L3,36,china:map18_0,Single,Which state in the lowest range borders at least 2 states from range 26.10 - 48.30?,"Tibet, Gansu",0->0,0,0,,,3072,3072,truncated,truncated,1716,False,0.30239346176298887,14.56876456876457,True,1927,False,0.26715176715176714,14.01141670991178,True
india,1941,mapwise_india_map168_3C_t9_idx0094,L1,9,india:map168_3,Binary,Does the value of Karnataka fall in range 20k - 40k?,Yes,0->1,0,1,no,yes,1170,744,complete,complete,670,True,0.16041979010494756,19.402985074626866,False,476,True,0.2283298097251586,21.008403361344538,False
india,1707,mapwise_india_map112_7D_t8_idx0095,L0,8,india:map112_7,Range,Which class has the largest range of values?,4384.00 - 11553.00,0->0,0,0,1925-11027,1925-11027,500,530,complete,complete,179,True,0.03977272727272729,5.58659217877095,False,196,True,0.015544041450777257,5.1020408163265305,False
usa,2622,mapwise_usa_map_12788_t3_idx0096,L0,3,usa:map_12788,Range,What is the overall range of the legend?,10.9-35.3%,0->0,0,0,-35.3-10.9,-24.7-10.9,845,239,complete,complete,474,True,0.21656050955414008,31.645569620253166,False,129,True,0.023809523809523836,15.503875968992247,False
